date,price
2019.9.24,12645
2019.9.25,12295
2019.9.26,12330
2019.9.27,12080
2019.9.30,12255
2019.10.1,12350
2019.10.2,11815
2019.10.4,11720
2019.10.7,11755
2019.10.8,12070
2019.10.10,11900
2019.10.11,12065
2019.10.14,12320
2019.10.15,12340
2019.10.16,12485
2019.10.17,12400
2019.10.18,12160
2019.10.21,12285
2019.10.22,12625
2019.10.23,12470
2019.10.24,12540
2019.10.25,12555
2019.10.28,12635
2019.10.29,12590
2019.10.30,12390
2019.10.31,12470
2019.11.1,12665
2019.11.4,13050
2019.11.5,13210
2019.11.6,13225
2019.11.7,13195
2019.11.8,13100
2019.11.11,12880
2019.11.12,13140
2019.11.13,12910
2019.11.14,13100
2019.11.15,13480
2019.11.18,13455
2019.11.19,13340
2019.11.20,13015
2019.11.21,12610
2019.11.22,12740
2019.11.25,13015
2019.11.26,13025
2019.11.27,13040
2019.11.28,12925
2019.11.29,12470
2019.12.2,12575
2019.12.3,12440
2019.12.4,12255
2019.12.5,12220
2019.12.6,12480
