date,price
2015.4.23,12710
2015.4.24,12550
2015.4.27,12490
2015.4.28,12390
2015.4.29,12290
2015.4.30,12175
2015.5.4,12270
2015.5.6,11905
2015.5.7,11775
2015.5.8,11690
2015.5.11,11720
2015.5.12,11700
2015.5.13,11850
2015.5.14,11880
2015.5.15,11645
2015.5.18,11705
2015.5.19,11800
2015.5.20,12020
2015.5.21,11740
2015.5.22,12045
2015.5.26,11995
2015.5.27,11500
2015.5.28,11500
2015.5.29,11590
2015.6.1,11415
2015.6.2,11190
2015.6.3,10980
2015.6.4,11070
2015.6.5,11030
2015.6.8,10990
2015.6.9,10950
2015.6.10,10825
2015.6.11,10885
2015.6.12,10720
2015.6.15,10670
2015.6.16,10445
2015.6.17,10480
2015.6.18,10550
2015.6.19,10615
2015.6.22,10720
2015.6.23,10990
2015.6.24,10990
2015.6.25,10980
2015.6.26,10980
2015.6.29,10680
2015.6.30,10750
2015.7.1,11025
2015.7.2,11050
2015.7.3,10995
2015.7.6,10440
2015.7.7,10485
2015.7.8,10200
2015.7.9,10330
2015.7.10,10360
2015.7.13,10560
2015.7.14,10465
2015.7.15,10540
2015.7.16,10675
2015.7.17,10565
2015.7.20,10510
2015.7.21,10565
2015.7.22,10355
2015.7.23,10350
2015.7.24,10120
2015.7.27,10175
2015.7.28,10195
2015.7.29,10270
2015.7.30,10095
2015.7.31,10025
2015.8.3,9915
2015.8.4,10010
2015.8.5,10030
2015.8.6,9795
2015.8.7,9745
2015.8.11,9625
2015.8.12,9495
2015.8.13,9580
2015.8.17,9420
2015.8.18,9390
2015.8.19,9250
2015.8.20,9050
2015.8.21,8765
2015.8.24,8330
2015.8.25,8400
2015.8.26,8715
2015.8.27,8790
2015.8.28,9035
2015.8.31,9050
2015.9.1,8835
2015.9.2,8870
2015.9.3,8905
2015.9.4,8750
2015.9.7,8705
2015.9.8,8750
2015.9.9,9275
2015.9.10,9260
2015.9.11,9165
2015.9.14,9080
2015.9.15,9120
2015.9.16,9545
2015.9.17,9625
2015.9.18,9730
2015.9.21,9420
2015.9.22,9530
2015.9.23,9255
2015.9.24,9240
2015.9.25,9225
2015.9.30,9365
2015.10.1,9560
2015.10.2,9435
2015.10.5,9470
2015.10.6,9645
2015.10.7,9910
2015.10.8,10060
2015.10.12,10185
2015.10.13,10150
2015.10.14,10090
2015.10.15,10330
2015.10.16,10265
2015.10.19,10275
2015.10.20,10345
2015.10.21,10415
2015.10.22,10285
2015.10.23,10445
2015.10.26,10500
2015.10.27,10480
2015.10.28,10480
2015.10.29,10425
2015.10.30,10490
2015.11.2,10485
2015.11.3,10680
2015.11.4,10655
2015.11.5,10650
2015.11.6,10505
2015.11.9,10425
2015.11.10,10115
2015.11.11,10095
2015.11.12,10115
2015.11.13,9850
2015.11.16,9600
2015.11.17,9775
2015.11.18,9725
2015.11.19,9995
2015.11.20,10020
2015.11.23,10150
2015.11.24,10230
2015.11.25,10210
2015.11.26,10455
2015.11.27,10410
2015.11.30,10015
2015.12.1,10310
2015.12.2,10170
2015.12.3,9990
2015.12.4,9785
2015.12.7,9705
2015.12.8,9610
2015.12.9,9610
2015.12.10,9700
2015.12.11,9660
2015.12.14,9500
2015.12.15,9560
2015.12.16,9930
2015.12.17,9915
2015.12.18,9885
2015.12.21,9955
2015.12.22,9995
2015.12.23,10160
2015.12.24,10070
2015.12.28,9790
2015.12.29,9940
